BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON
195703,24,1530,195703,24,1530,,9976816,ALABAMA,1,1957,March,Hail,C,21,CHILTON,,3/24/57 15:30,CST,3/24/57 15:30,0,0,0,0,0,0,,0.75,,,,,0,0,,,,,0,,,0,,,32.78,-86.58,,
195703,24,1805,195703,24,1805,,9976817,ALABAMA,1,1957,March,Hail,C,21,CHILTON,,3/24/57 18:05,CST,3/24/57 18:05,0,0,0,0,0,0,,1,,,,,0,0,,,,,0,,,0,,,32.88,-86.68,,
195703,31,2330,195703,31,2330,,9976818,ALABAMA,1,1957,March,Tornado,C,97,MOBILE,,3/31/57 23:30,CST,3/31/57 23:30,4,0,0,0,25K,0,,0,,,,F1,1,67,,,,,0,,,0,,,30.65,-88,,
195703,31,2330,195703,31,2330,,9976819,ALABAMA,1,1957,March,Tornado,C,97,MOBILE,,3/31/57 23:30,CST,3/31/57 23:30,0,0,0,0,.03K,0,,0,,,,F1,0,33,,,,,0,,,0,,,30.65,-88,,
195703,31,2330,195703,31,2330,,9976820,ALABAMA,1,1957,March,Thunderstorm Wind,C,97,MOBILE,,3/31/57 23:30,CST,3/31/57 23:30,0,0,0,0,0,0,,0,,,,,0,0,,,,,0,,,0,,,30.7,-88,,
195704,1,630,195704,1,630,,9976821,ALABAMA,1,1957,April,Thunderstorm Wind,C,57,FAYETTE,,4/1/57 6:30,CST,4/1/57 6:30,0,0,0,0,0,0,,0,,,,,0,0,,,,,0,,,0,,,33.58,-85.78,,
195704,4,330,195704,4,330,,9976822,ALABAMA,1,1957,April,Thunderstorm Wind,C,43,CULLMAN,,4/4/57 3:30,CST,4/4/57 3:30,0,0,0,0,0,0,,0,,,,,0,0,,,,,0,,,0,,,34,-86.78,,
195704,4,400,195704,4,400,,9976823,ALABAMA,1,1957,April,Thunderstorm Wind,C,75,LAMAR,,4/4/57 4:00,CST,4/4/57 4:00,0,0,0,0,0,0,,0,,,,,0,0,,,,,0,,,0,,,33.78,-88.08,,
195704,4,430,195704,4,430,,9976824,ALABAMA,1,1957,April,Thunderstorm Wind,C,63,GREENE,,4/4/57 4:30,CST,4/4/57 4:30,0,0,0,0,0,0,,0,,,,,0,0,,,,,0,,,0,,,32.88,-87.9,,
195702,1,2000,195702,1,2000,,9976814,ALABAMA,1,1957,February,Tornado,C,69,HOUSTON,,2/1/57 20:00,CST,2/1/57 20:00,0,0,0,0,.25K,0,,0,,,,F1,0,33,,,,,0,,,0,,,31.2,-85.4,,
195704,7,2335,195704,7,2335,,9976825,ALABAMA,1,1957,April,Tornado,C,59,FRANKLIN,,4/7/57 23:35,CST,4/7/57 23:35,0,0,0,0,25K,0,,0,,,,F2,0,33,,,,,0,,,0,,,34.45,-88.13,,
195704,8,946,195704,8,946,,9976826,ALABAMA,1,1957,April,Tornado,C,93,MARION,,4/8/57 9:46,CST,4/8/57 9:46,0,0,0,0,250K,0,,0,,,,F3,51.4,100,,,,,0,,,0,,,34.12,-87.98,34.32,-87.12
195704,8,1015,195704,8,1015,,9976827,ALABAMA,1,1957,April,Tornado,C,103,MORGAN,,4/8/57 10:15,CST,4/8/57 10:15,90,0,2,0,.25K,0,,0,,,,F3,33.6,200,,,,,0,,,0,,,34.32,-86.98,34.45,-86.42
195704,8,1015,195704,8,1015,,9976828,ALABAMA,1,1957,April,Tornado,C,95,MARSHALL,,4/8/57 10:15,CST,4/8/57 10:15,0,0,0,0,.25K,0,,0,,,,F3,5.2,200,,,,,0,,,0,,,34.45,-86.42,34.47,-86.33
195704,8,1030,195704,8,1030,,9976829,ALABAMA,1,1957,April,Tornado,C,43,CULLMAN,,4/8/57 10:30,CST,4/8/57 10:30,0,0,0,0,250K,0,,0,,,,F3,16.3,33,,,,,0,,,0,,,34.3,-86.6,34.38,-86.33
195705,10,1945,195705,10,1945,,9976830,ALABAMA,1,1957,May,Tornado,C,67,HENRY,,5/10/57 19:45,CST,5/10/57 19:45,0,0,0,0,2.5K,0,,0,,,,F1,0,33,,,,,0,,,0,,,31.37,-85.3,,
195705,22,945,195705,22,945,,9976831,ALABAMA,1,1957,May,Thunderstorm Wind,C,89,MADISON,,5/22/57 9:45,CST,5/22/57 9:45,0,0,0,0,0,0,,0,,,,,0,0,,,,,0,,,0,,,34.58,-86.58,,
195705,26,1850,195705,26,1850,,9976832,ALABAMA,1,1957,May,Thunderstorm Wind,C,101,MONTGOMERY,,5/26/57 18:50,CST,5/26/57 18:50,0,0,0,0,0,0,,0,,,,,0,0,,,,,0,,,0,,,32.28,-86.4,,
195706,18,1730,195706,18,1730,,9976833,ALABAMA,1,1957,June,Thunderstorm Wind,C,75,LAMAR,,6/18/57 17:30,CST,6/18/57 17:30,0,0,0,0,0,0,,0,,,,,0,0,,,,,0,,,0,,,33.78,-88.08,,
195706,21,1800,195706,21,1800,,9976834,ALABAMA,1,1957,June,Hail,C,103,MORGAN,,6/21/57 18:00,CST,6/21/57 18:00,0,0,0,0,0,0,,2,,,,,0,0,,,,,0,,,0,,,34.58,-87,,
195706,28,830,195706,28,830,,9976835,ALABAMA,1,1957,June,Tornado,C,25,CLARKE,,6/28/57 8:30,CST,6/28/57 8:30,0,0,0,0,2.5K,0,,0,,,,F1,7.4,100,,,,,0,,,0,,,31.6,-87.7,31.63,-87.82
195706,28,850,195706,28,850,,9976836,ALABAMA,1,1957,June,Tornado,C,131,WILCOX,,6/28/57 8:50,CST,6/28/57 8:50,0,0,0,0,25K,0,,0,,,,F2,2,100,,,,,0,,,0,,,31.92,-87.08,,
195706,28,927,195706,28,927,,9976837,ALABAMA,1,1957,June,Tornado,C,101,MONTGOMERY,,6/28/57 9:27,CST,6/28/57 9:27,0,0,0,0,0K,0,,0,,,,F0,0,100,,,,,0,,,0,,,32.07,-86.3,,
195706,28,935,195706,28,935,,9976838,ALABAMA,1,1957,June,Tornado,C,85,LOWNDES,,6/28/57 9:35,CST,6/28/57 9:35,0,0,0,0,25K,0,,0,,,,F2,12.8,117,,,,,0,,,0,,,32.15,-86.58,32.25,-86.4
195706,28,945,195706,28,945,,9976839,ALABAMA,1,1957,June,Tornado,C,35,CONECUH,,6/28/57 9:45,CST,6/28/57 9:45,0,0,0,0,250K,0,,0,,,,F2,23.2,440,,,,,0,,,0,,,31.4,-86.9,31.63,-86.62
195706,28,955,195706,28,955,,9976840,ALABAMA,1,1957,June,Tornado,C,99,MONROE,,6/28/57 9:55,CST,6/28/57 9:55,4,0,0,0,250K,0,,0,,,,F2,12.1,100,,,,,0,,,0,,,31.42,-87.4,31.53,-87.25
195706,28,1000,195706,28,1000,,9976841,ALABAMA,1,1957,June,Tornado,C,85,LOWNDES,,6/28/57 10:00,CST,6/28/57 10:00,8,0,0,0,250K,0,,0,,,,F1,13.5,50,,,,,0,,,0,,,31.97,-86.58,32.08,-86.4
195706,28,1000,195706,28,1000,,9976842,ALABAMA,1,1957,June,Tornado,C,101,MONTGOMERY,,6/28/57 10:00,CST,6/28/57 10:00,0,0,0,0,250K,0,,0,,,,F1,8.8,50,,,,,0,,,0,,,32.08,-86.4,32.13,-86.27
195706,28,1010,195706,28,1010,,9976843,ALABAMA,1,1957,June,Thunderstorm Wind,C,41,CRENSHAW,,6/28/57 10:10,CST,6/28/57 10:10,0,0,0,0,0,0,,0,,,,,0,0,,,,,0,,,0,,,31.9,-86.4,,
195706,28,1015,195706,28,1015,,9976844,ALABAMA,1,1957,June,Tornado,C,13,BUTLER,,6/28/57 10:15,CST,6/28/57 10:15,0,0,0,0,250K,0,,0,,,,F2,12.3,133,,,,,0,,,0,,,31.77,-86.72,31.85,-86.53
195706,28,1030,195706,28,1030,,9976846,ALABAMA,1,1957,June,Tornado,C,101,MONTGOMERY,,6/28/57 10:30,CST,6/28/57 10:30,0,0,0,0,2.5K,0,,0,,,,F0,8.9,167,,,,,0,,,0,,,32.17,-86.13,32.18,-85.98
195705,20,1630,195705,20,1630,,10069885,NEBRASKA,31,1957,May,Hail,C,95,JEFFERSON,,5/20/57 16:30,CST,5/20/57 16:30,0,0,0,0,0,0,,3.5,,,,,0,0,,,,,0,,,0,,,40.08,-97.08,,
195705,23,900,195705,23,900,,10119792,TEXAS,48,1957,May,Thunderstorm Wind,C,49,BROWN,,5/23/57 9:00,CST,5/23/57 9:00,0,0,0,0,0,0,,0,,,,,0,0,,,,,0,,,0,,,32,-99.18,,
195707,4,228,195707,4,228,,10019231,IOWA,19,1957,July,Tornado,C,47,CRAWFORD,,7/4/57 2:28,CST,7/4/57 2:28,1,0,0,0,.03K,0,,0,,,,F1,0,33,,,,,0,,,0,,,42.2,-95.2,,
195707,4,1700,195707,4,1700,,10003808,INDIANA,18,1957,July,Tornado,C,145,SHELBY,,7/4/57 17:00,CST,7/4/57 17:00,0,0,0,0,250K,0,,0,,,,F2,0,33,,,,,0,,,0,,,39.45,-85.9,,
195705,30,1600,195705,30,1600,,9990316,COLORADO,8,1957,May,Tornado,C,69,LARIMER,,5/30/57 16:00,CST,5/30/57 16:00,0,0,0,0,2.5K,0,,0,,,,F2,1.9,33,,,,,0,,,0,,,40.47,-104.93,40.47,-104.88
195705,22,1930,195705,22,1930,,10096540,OKLAHOMA,40,1957,May,Hail,C,19,CARTER,,5/22/57 19:30,CST,5/22/57 19:30,0,0,0,0,0,0,,1,,,,,0,0,,,,,0,,,0,,,34.2,-97.08,,
195704,2,1830,195704,2,1830,,10122250,TEXAS,48,1957,April,Tornado,C,121,DENTON,,4/2/57 18:30,CST,4/2/57 18:30,0,0,0,0,25K,0,,0,,,,,1.5,67,,,,,0,,,0,,,33.23,-97.33,,
195704,22,2007,195704,22,2007,,10094083,OKLAHOMA,40,1957,April,Thunderstorm Wind,C,149,WASHITA,,4/22/57 20:07,CST,4/22/57 20:07,0,0,0,0,0,0,,0,,,,,0,0,,,,,0,,,0,,,35.38,-98.78,,
195706,10,700,195706,10,700,,10113004,SOUTH DAKOTA,46,1957,June,Hail,C,115,SPINK,,6/10/57 7:00,CST,6/10/57 7:00,0,0,0,0,0,0,,1.75,,,,,0,0,,,,,0,,,0,,,44.88,-98.5,,
195704,2,1915,195704,2,1915,,10092678,OKLAHOMA,40,1957,April,Tornado,C,23,CHOCTAW,,4/2/57 19:15,CST,4/2/57 19:15,0,0,0,0,25K,0,,0,,,,F1,16.8,33,,,,,0,,,0,,,33.93,-95.5,34.13,-95.33
195704,3,1730,195704,3,1730,,10037036,KENTUCKY,21,1957,April,Tornado,C,227,WARREN,,4/3/57 17:30,CST,4/3/57 17:30,0,0,0,0,0K,0,,0,,,,F1,0,33,,,,,0,,,0,,,36.83,-86.45,,
195705,24,1700,195705,24,1700,,10027755,KANSAS,20,1957,May,Hail,C,153,RAWLINS,,5/24/57 17:00,CST,5/24/57 17:00,0,0,0,0,0,0,,2.5,,,,,0,0,,,,,0,,,0,,,39.88,-100.78,,
195706,3,1820,195706,3,1820,,10030445,LOUISIANA,22,1957,June,Hail,C,31,DE SOTO,,6/3/57 18:20,CST,6/3/57 18:20,0,0,0,0,0,0,,0.75,,,,,0,0,,,,,0,,,0,,,32.2,-93.68,,
195706,11,1915,195706,11,1915,,10037044,KENTUCKY,21,1957,June,Thunderstorm Wind,C,21,BOYLE,,6/11/57 19:15,CST,6/11/57 19:15,0,0,0,0,0,0,,0,,,,,0,0,,,,,0,,,0,,,37.58,-85,,
195705,25,1535,195705,25,1535,,10003004,INDIANA,18,1957,May,Thunderstorm Wind,C,147,SPENCER,,5/25/57 15:35,CST,5/25/57 15:35,0,0,0,0,0,0,,0,,,,,0,0,,,,,0,,,0,,,38,-86.9,,
195704,19,1618,195704,19,1618,,10148797,WISCONSIN,55,1957,April,Tornado,C,101,RACINE,,4/19/57 16:18,CST,4/19/57 16:18,2,0,0,0,250K,0,,0,,,,F2,2.7,50,,,,,0,,,0,,,42.65,-88.3,42.65,-88.23
195711,18,1930,195711,18,1930,,9994289,GEORGIA,13,1957,November,Thunderstorm Wind,C,15,BARTOW,,11/18/57 19:30,CST,11/18/57 19:30,0,0,0,0,0,0,,0,,,,,0,0,,,,,0,,,0,,,34.28,-84.9,,
195704,8,1615,195704,8,1615,,10154173,VIRGINIA,51,1957,April,Thunderstorm Wind,C,810,VIRGINIA BEACH (C),,4/8/57 16:15,CST,4/8/57 16:15,0,0,0,0,0,0,,55,,,,,0,0,,,,,0,,,0,,,36.88,-76.18,,
195706,28,1100,195706,28,1100,,9977920,ALABAMA,1,1957,June,Tornado,C,39,COVINGTON,,6/28/57 11:00,CST,6/28/57 11:00,2,0,0,0,250K,0,,0,,,,F2,5.2,200,,,,,0,,,0,,,31.45,-86.7,31.52,-86.67
195706,28,1150,195706,28,1150,,9977922,ALABAMA,1,1957,June,Tornado,C,41,CRENSHAW,,6/28/57 11:50,CST,6/28/57 11:50,0,0,0,0,0K,0,,0,,,,F0,0,33,,,,,0,,,0,,,31.7,-86.3,,
195707,15,1600,195707,15,1600,,9977924,ALABAMA,1,1957,July,Thunderstorm Wind,C,97,MOBILE,,7/15/57 16:00,CST,7/15/57 16:00,0,0,0,0,0,0,,0,,,,,0,0,,,,,0,,,0,,,30.9,-88.28,,
195708,15,1730,195708,15,1730,,9977925,ALABAMA,1,1957,August,Tornado,C,81,LEE,,8/15/57 17:30,CST,8/15/57 17:30,0,0,0,0,2.5K,0,,0,,,,F1,0,133,,,,,0,,,0,,,32.53,-85.08,,
195709,11,1825,195709,11,1825,,9977926,ALABAMA,1,1957,September,Thunderstorm Wind,C,59,FRANKLIN,,9/11/57 18:25,CST,9/11/57 18:25,0,0,0,0,0,0,,0,,,,,0,0,,,,,0,,,0,,,34.38,-87.68,,
195709,18,1445,195709,18,1445,,9977927,ALABAMA,1,1957,September,Tornado,C,47,DALLAS,,9/18/57 14:45,CST,9/18/57 14:45,0,0,0,0,25K,0,,0,,,,F0,11.9,100,,,,,0,,,0,,,32.4,-86.87,32.52,-86.72
195711,8,225,195711,8,225,,9977928,ALABAMA,1,1957,November,Tornado,C,107,PICKENS,,11/8/57 2:25,CST,11/8/57 2:25,5,0,0,0,250K,0,,0,,,,F1,8.7,33,,,,,0,,,0,,,33.13,-88.13,33.18,-88
195711,8,300,195711,8,300,,9977929,ALABAMA,1,1957,November,Thunderstorm Wind,C,125,TUSCALOOSA,,11/8/57 3:00,CST,11/8/57 3:00,0,0,0,0,0,0,,65,,,,,0,0,,,,,0,,,0,,,33.2,-87.58,,
195711,8,430,195711,8,430,,9977930,ALABAMA,1,1957,November,Tornado,C,117,SHELBY,,11/8/57 4:30,CST,11/8/57 4:30,0,0,0,0,25K,0,,0,,,,F1,4.1,50,,,,,0,,,0,,,33.2,-86.57,33.23,-86.52
195711,16,1000,195711,16,1000,,9977931,ALABAMA,1,1957,November,Thunderstorm Wind,C,9,BLOUNT,,11/16/57 10:00,CST,11/16/57 10:00,0,0,0,0,0,0,,0,,,,,0,0,,,,,0,,,0,,,34.2,-86.4,,
195711,17,1310,195711,17,1310,,9977932,ALABAMA,1,1957,November,Tornado,C,75,LAMAR,,11/17/57 13:10,CST,11/17/57 13:10,0,0,0,0,2.5K,0,,0,,,,F1,0,33,,,,,0,,,0,,,33.9,-88.13,,
195711,17,1512,195711,17,1512,,9977933,ALABAMA,1,1957,November,Tornado,C,127,WALKER,,11/17/57 15:12,CST,11/17/57 15:12,15,0,4,0,25K,0,,0,,,,F4,7.2,200,,,,,0,,,0,,,33.9,-87.18,33.93,-87.3
195711,17,1610,195711,17,1610,,9977934,ALABAMA,1,1957,November,Tornado,C,43,CULLMAN,,11/17/57 16:10,CST,11/17/57 16:10,3,0,0,0,250K,0,,0,,,,F1,9.2,33,,,,,0,,,0,,,34.1,-87.05,34.15,-86.9
195711,18,1330,195711,18,1330,,9977935,ALABAMA,1,1957,November,Tornado,C,59,FRANKLIN,,11/18/57 13:30,CST,11/18/57 13:30,0,0,0,0,25K,0,,0,,,,F2,7.4,33,,,,,0,,,0,,,34.48,-87.87,34.53,-87.75
195711,18,1430,195711,18,1430,,9977936,ALABAMA,1,1957,November,Tornado,C,63,GREENE,,11/18/57 14:30,CST,11/18/57 14:30,0,0,0,0,250K,0,,0,,,,F1,7.6,33,,,,,0,,,0,,,32.65,-87.9,32.72,-87.8
195711,18,1430,195711,18,1430,,9977937,ALABAMA,1,1957,November,Tornado,C,65,HALE,,11/18/57 14:30,CST,11/18/57 14:30,5,0,0,0,250K,0,,0,,,,F1,20.4,33,,,,,0,,,0,,,32.72,-87.8,32.95,-87.58
195711,18,1445,195711,18,1445,,9977938,ALABAMA,1,1957,November,Tornado,C,125,TUSCALOOSA,,11/18/57 14:45,CST,11/18/57 14:45,1,0,0,0,25K,0,,0,,,,F1,3.3,33,,,,,0,,,0,,,33.4,-87.53,33.42,-87.48
195711,18,1445,195711,18,1445,,9977939,ALABAMA,1,1957,November,Tornado,C,47,DALLAS,,11/18/57 14:45,CST,11/18/57 14:45,0,0,0,0,25K,0,,0,,,,F1,37.3,33,,,,,0,,,0,,,32.28,-87.37,32.67,-86.92
195711,18,1445,195711,18,1445,,9977940,ALABAMA,1,1957,November,Hail,C,125,TUSCALOOSA,,11/18/57 14:45,CST,11/18/57 14:45,0,0,0,0,0,0,,1.75,,,,,0,0,,,,,0,,,0,,,33.28,-87.5,,
195711,18,1530,195711,18,1530,,9977941,ALABAMA,1,1957,November,Tornado,C,73,JEFFERSON,,11/18/57 15:30,CST,11/18/57 15:30,35,0,1,0,2.5M,0,,0,,,,F2,8.2,100,,,,,0,,,0,,,33.6,-86.8,33.63,-86.67
195711,18,1615,195711,18,1615,,9977942,ALABAMA,1,1957,November,Tornado,C,49,DEKALB,,11/18/57 16:15,CST,11/18/57 16:15,0,0,0,0,25K,0,,0,,,,F1,0,33,,,,,0,,,0,,,34.33,-85.83,,
195706,28,1745,195706,28,1745,,9977923,ALABAMA,1,1957,June,Tornado,C,5,BARBOUR,,6/28/57 17:45,CST,6/28/57 17:45,1,0,0,0,25K,0,,0,,,,F2,16.5,100,,,,,0,,,0,,,31.8,-85.67,31.97,-85.47
195711,18,1635,195711,18,1635,,9977943,ALABAMA,1,1957,November,Tornado,C,123,TALLAPOOSA,,11/18/57 16:35,CST,11/18/57 16:35,0,0,0,0,25K,0,,0,,,,F1,0,33,,,,,0,,,0,,,32.95,-85.97,,
195711,18,1700,195711,18,1700,,9977944,ALABAMA,1,1957,November,Tornado,C,103,MORGAN,,11/18/57 17:00,CST,11/18/57 17:00,0,0,0,0,25K,0,,0,,,,F1,0,33,,,,,0,,,0,,,34.32,-86.6,,
195711,18,1700,195711,18,1700,,9977945,ALABAMA,1,1957,November,Tornado,C,79,LAWRENCE,,11/18/57 17:00,CST,11/18/57 17:00,0,0,0,0,2.5K,0,,0,,,,F1,0,33,,,,,0,,,0,,,34.5,-87.2,,
195711,18,1715,195711,18,1715,,9977946,ALABAMA,1,1957,November,Tornado,C,29,CLEBURNE,,11/18/57 17:15,CST,11/18/57 17:15,0,0,0,0,25K,0,,0,,,,F1,0,33,,,,,0,,,0,,,33.7,-85.6,,
195711,18,1730,195711,18,1730,,9977947,ALABAMA,1,1957,November,Tornado,C,27,CLAY,,11/18/57 17:30,CST,11/18/57 17:30,0,0,0,0,25K,0,,0,,,,F2,0,33,,,,,0,,,0,,,33.27,-85.85,,
195711,18,1730,195711,18,1730,,9977948,ALABAMA,1,1957,November,Tornado,C,9,BLOUNT,,11/18/57 17:30,CST,11/18/57 17:30,6,0,3,0,250K,0,,0,,,,F4,15.8,100,,,,,0,,,0,,,33.98,-86.52,34.17,-86.35
195711,18,1730,195711,18,1730,,9977949,ALABAMA,1,1957,November,Tornado,C,95,MARSHALL,,11/18/57 17:30,CST,11/18/57 17:30,6,0,0,0,250K,0,,0,,,,F4,10.3,100,,,,,0,,,0,,,34.17,-86.35,34.27,-86.22
195711,24,1300,195711,24,1300,,9977950,ALABAMA,1,1957,November,Hail,C,103,MORGAN,,11/24/57 13:00,CST,11/24/57 13:00,0,0,0,0,0,0,,1.75,,,,,0,0,,,,,0,,,0,,,34.5,-86.78,,
195712,19,2230,195712,19,2230,,9977951,ALABAMA,1,1957,December,Tornado,C,57,FAYETTE,,12/19/57 22:30,CST,12/19/57 22:30,0,0,0,0,2.5K,0,,0,,,,F1,0,33,,,,,0,,,0,,,33.87,-87.8,,
195712,19,2315,195712,19,2315,,9977952,ALABAMA,1,1957,December,Tornado,C,33,COLBERT,,12/19/57 23:15,CST,12/19/57 23:15,7,0,0,0,25K,0,,0,,,,F2,0,33,,,,,0,,,0,,,34.6,-87.67,,
195712,20,300,195712,20,300,,9977954,ALABAMA,1,1957,December,Tornado,C,35,CONECUH,,12/20/57 3:00,CST,12/20/57 3:00,0,0,0,0,2.5K,0,,0,,,,F1,0.8,33,,,,,0,,,0,,,31.3,-86.88,,
195712,20,253,195712,20,253,,9977953,ALABAMA,1,1957,December,Tornado,C,21,CHILTON,,12/20/57 2:53,CST,12/20/57 2:53,0,0,0,0,250K,0,,0,,,,F1,0,33,,,,,0,,,0,,,32.8,-86.65,,
195705,29,1830,195705,29,1830,,10080147,NEVADA,32,1957,May,Hail,C,31,WASHOE,,5/29/57 18:30,CST,5/29/57 18:30,0,0,0,0,0,0,,1,,,,,0,0,,,,,0,,,0,,,39.5,-119.8,,
195704,17,1700,195704,17,1700,,10092695,OKLAHOMA,40,1957,April,Hail,C,153,WOODWARD,,4/17/57 17:00,CST,4/17/57 17:00,0,0,0,0,0,0,,2,,,,,0,0,,,,,0,,,0,,,36.5,-99.08,,
195704,18,252,195704,18,252,,10092696,OKLAHOMA,40,1957,April,Hail,C,103,NOBLE,,4/18/57 2:52,CST,4/18/57 2:52,0,0,0,0,0,0,,1,,,,,0,0,,,,,0,,,0,,,36.28,-97.28,,
195704,18,1709,195704,18,1709,,10092697,OKLAHOMA,40,1957,April,Hail,C,45,ELLIS,,4/18/57 17:09,CST,4/18/57 17:09,0,0,0,0,0,0,,2,,,,,0,0,,,,,0,,,0,,,36.28,-99.78,,
195704,18,1746,195704,18,1746,,10092698,OKLAHOMA,40,1957,April,Hail,C,45,ELLIS,,4/18/57 17:46,CST,4/18/57 17:46,0,0,0,0,0,0,,1,,,,,0,0,,,,,0,,,0,,,36.28,-99.78,,
195704,18,1800,195704,18,1800,,10092699,OKLAHOMA,40,1957,April,Thunderstorm Wind,C,149,WASHITA,,4/18/57 18:00,CST,4/18/57 18:00,0,0,0,0,0,0,,0,,,,,0,0,,,,,0,,,0,,,35.38,-99.4,,
195704,18,1900,195704,18,1900,,10092700,OKLAHOMA,40,1957,April,Thunderstorm Wind,C,75,KIOWA,,4/18/57 19:00,CST,4/18/57 19:00,0,0,0,0,0,0,,0,,,,,0,0,,,,,0,,,0,,,35,-99.08,,
195704,18,1945,195704,18,1945,,10092701,OKLAHOMA,40,1957,April,Tornado,C,151,WOODS,,4/18/57 19:45,CST,4/18/57 19:45,0,0,0,0,.03K,0,,0,,,,F0,0,33,,,,,0,,,0,,,36.5,-98.87,,
195706,6,1830,195706,6,1830,,10073363,MONTANA,30,1957,June,Hail,C,111,YELLOWSTONE,,6/6/57 18:30,CST,6/6/57 18:30,0,0,0,0,0,0,,1.75,,,,,0,0,,,,,0,,,0,,,45.58,-108.68,,
